time;od;prefix;range
0;0.964;time1155;[1.2e5 2.1e5 2.2e5 3.7e5]
15;0.956;time1210;[1.2e5 2.1e5 2.2e5 3.7e5]
30;0.952;time1225;[1.2e5 2.1e5 2.2e5 3.8e5]
45;0.952;time1240;[1.2e5 2.1e5 2e5 3.8e5]
60;0.948;time1255;[1.2e5 2.1e5 2.1e5 3.8e5]
75;0.952;time1310;[1.2e5 2.1e5 2.2e5 3.8e5]
90;0.944;time1325;[1.2e5 2.1e5 2.1e5 3.8e5]
105;0.944;time1340;[1.2e5 2.1e5 2.2e5 4e5]
120;0.956;time1355;[3e4 2.0e5 2.1e5 3.5e5]
135;0.96;time1410;[3e4 2.0e5 2.1e5 3.5e5]
150;0.956;time1425;[3e4 2.0e5 2.1e5 3.5e5]
165;0.964;time1440;[3e4 2.0e5 2.1e5 3.5e5]
180;0.96;time1455;[3e4 2.0e5 2.1e5 3.5e5]
225;0.968;time1540;[3e4 2.0e5 2.1e5 3.5e5]
275;1.008;time1630;[3e4 2.0e5 2.1e5 3.5e5]
