Time,wPI,noPI
0,0.780128451319171,0.777534459856649
7,0.782067826262616,0.76705429277741
14,0.779480827565206,0.771004940754615
21,0.776884409614504,0.769032815596095
28,0.76705429277741,0.77034827147995
35,0.782713143315973,0.761744737551227
42,0.77818388511838,0.757056552288528
49,0.779480827565206,0.763076739630476
56,0.776233732987325,0.765068974456263
63,0.778832706283748,0.759070768254121
70,0.774277872367324,0.755034520192551
77,0.782067826262616,0.747550640473446
84,0.777534459856649,0.754358797996654
91,0.780128451319171,0.764405679633567
98,0.776233732987325,0.755709409545508
105,0.771660906027858,0.747550640473446
112,0.784002132255924,0.751646672604832
119,0.776233732987325,0.754358797996654
126,0.773624709286138,0.763076739630476
133,0.776233732987325,0.763076739630476
140,0.778832706283748,0.760409397100971
147,0.784002132255924,0.761077475265475
154,0.782713143315973,0.753682126940562
160.998333333333,0.779480827565206,0.764405679633567
168,0.785931486128946,0.753682126940562
174.998333333333,0.787215191921323,0.76705429277741
182.163333333333,0.782713143315973,0.758400195087339
188.998333333333,0.784002132255924,0.763741601780545
195.998333333333,0.785931486128946,0.764405679633567
203,0.788496903913572,0.761744737551227
209.998333333333,0.785288860202954,0.768374006618332
216.998333333333,0.790415853268699,0.774277872367324
223.998333333333,0.788496903913572,0.76705429277741
230.998333333333,0.790415853268699,0.769690896864244
237.998333333333,0.797417971857358,0.768374006618332
244.998333333333,0.791692738976844,0.774930475517526
251.998333333333,0.806265881106436,0.772970788947305
258.998333333333,0.794241434210861,0.781421939538508
265.998333333333,0.799952496309174,0.785288860202954
272.998333333333,0.803112927704115,0.784002132255924
279.998333333333,0.800585255494744,0.792330561817369
286.998333333333,0.808783368548436,0.792330561817369
293.998333333333,0.809412166849683,0.789776672454084
300.998333333333,0.808154344932353,0.791054477734053
307.998333333333,0.805005545833296,0.789776672454084
314.998333333333,0.805635852161097,0.792967947766579
321.998333333333,0.814435056312699,0.785931486128946
328.998333333333,0.812552948060928,0.786573596207615
335.998333333333,0.814435056312699,0.792330561817369
342.998333333333,0.810040741440477,0.787215191921323
349.998333333333,0.811925195629162,0.789137023166442
356.998333333333,0.81756894214303,0.791054477734053
363.998333333333,0.815689035755343,0.791054477734053
371.16,0.818821504820171,0.794877556864664
377.998333333333,0.821951429737353,0.790415853268699
384.998333333333,0.833212447674175,0.794241434210861
391.998333333333,0.829458328486299,0.792967947766579
398.998333333333,0.831960820181149,0.787856293997534
405.998333333333,0.834464374195438,0.791692738976844
412.998333333333,0.834464374195438,0.789137023166442
419.998333333333,0.826956212367354,0.792330561817369
426.998333333333,0.833838365696533,0.796148587791619
433.998333333333,0.826956212367354,0.792967947766579
440.996666666667,0.836969308048586,0.794241434210861
447.996666666667,0.836342883740115,0.795513267854993
454.996666666667,0.843869763297328,0.793604898352888
461.998333333333,0.839476314922332,0.800585255494744
468.996666666667,0.851426954402087,0.793604898352888
475.996666666667,0.845126834916949,0.796148587791619
482.996666666667,0.846384717498846,0.797417971857358
489.996666666667,0.845126834916949,0.789776672454084
496.996666666667,0.848903646269082,0.792967947766579
503.996666666667,0.847643669194931,0.792330561817369
510.996666666667,0.849534044574178,0.792330561817369
517.996666666667,0.847014068334693,0.795513267854993
524.996666666667,0.857122927236035,0.796148587791619
531.996666666667,0.855854704750824,0.796783423002381
538.996666666667,0.850164724486559,0.796148587791619
545.996666666667,0.855854704750824,0.788496903913572
552.996666666667,0.862211419958376,0.791054477734053
560.156666666667,0.851426954402087,0.794241434210861
566.996666666667,0.857757507003529,0.794241434210861
573.996666666667,0.855221135128659,0.790415853268699
580.996666666667,0.864765913719848,0.790415853268699
587.996666666667,0.853322517008042,0.791692738976844
594.996666666667,0.862211419958376,0.789776672454084
601.996666666667,0.860936796980516,0.788496903913572
608.996666666667,0.859028017523856,0.789776672454084
615.996666666667,0.860936796980516,0.789776672454084
622.996666666667,0.857757507003529,0.792330561817369
629.996666666667,0.863487705201189,0.798685949946734
636.996666666667,0.865405720682808,0.799952496309174
643.996666666667,0.858392566191196,0.803112927704115
650.996666666667,0.856488634936277,0.801849772697879
657.996666666667,0.857122927236035,0.805005545833296
664.996666666667,0.857122927236035,0.80248145808769
671.995,0.852690316998673,0.801849772697879
678.996666666667,0.860300121842609,0.799952496309174
685.996666666667,0.853322517008042,0.799952496309174
692.996666666667,0.853322517008042,0.800585255494744
