Time,zero,max
0,0.79868595,0.857122927
5,0.803744095,0.864126578
9.998333333,0.803112928,0.852058432
14.99833333,0.791692739,0.840730621
19.99833333,0.783357912,0.838849348
24.99833333,0.787215192,0.843869763
29.99833333,0.805005546,0.850164724
34.99833333,0.780775482,0.843241544
39.99833333,0.784002132,0.843241544
44.99833333,0.783357912,0.845755709
49.99833333,0.828832779,0.845126835
54.99833333,0.788496904,0.841985712
59.99833333,0.787215192,0.838849348
64.99833333,0.808783369,0.847643669
69.99833333,0.794241434,0.845126835
74.99833333,0.789137023,0.847014068
79.99833333,0.823202883,0.841358077
84.99833333,0.785931486,0.845126835
89.99833333,0.786573596,0.850164724
94.99833333,0.797417972,0.849534045
99.99833333,0.791054478,0.844498187
104.9983333,0.789137023,0.840730621
109.9983333,0.789776672,0.836969308
114.9983333,0.800585255,0.841358077
119.9983333,0.787856294,0.843241544
124.9983333,0.794241434,0.840730621
130.1616667,0.79868595,0.841985712
134.9983333,0.804374961,0.843241544
139.9983333,0.801849773,0.844498187
144.9983333,0.799319401,0.850164724
149.9983333,0.802481458,0.848273528
154.9983333,0.792330562,0.850164724
159.9983333,0.826330693,0.850164724
164.9983333,0.806895653,0.855221135
169.9983333,0.812552948,0.859663863
174.9983333,0.826330693,0.864126578
179.9983333,0.817568942,0.867969805
184.9983333,0.815689036,0.869254788
189.9983333,0.828207244,0.873769551
194.9983333,0.812552948,0.875712918
199.9983333,0.819447665,0.877661829
204.9983333,0.8325866,0.882231577
209.9983333,0.825079622,0.881576751
214.9983333,0.819447665,0.884200188
219.9983333,0.836342884,0.887495376
224.9983333,0.841358077,0.888156638
229.9983333,0.84010343,0.891474366
234.9983333,0.848273528,0.897497083
239.9983333,0.84010343,0.898170511
244.9983333,0.841985712,0.89951999
249.9966667,0.853322517,0.900873034
254.9983333,0.850795688,0.903589933
259.9983333,0.850164724,0.904271509
265.16,0.855854705,0.902909402
269.9983333,0.854587925,0.911832819
274.9966667,0.859028018,0.911832819
279.9966667,0.864126578,0.914612822
284.9983333,0.865405721,0.915310456
289.9966667,0.878312716,0.916708854
294.9966667,0.862849294,0.917409725
299.9966667,0.869254788,0.919518959
304.9966667,0.867969805,0.920224257
309.9983333,0.872476825,0.919518959
314.9966667,0.877661829,0.921638147
319.9966667,0.911140416,0.922346848
324.9966667,0.878312716,0.924479902
329.9983333,0.892140279,0.924479902
334.9966667,0.888818663,0.925907788
339.9983333,0.883543285,0.928058453
344.9966667,0.886175071,0.928777795
349.9983333,0.886175071,0.929498352
354.9966667,0.890145003,0.931667449
359.9966667,0.884857799,0.931667449
