Time,zero,half,max
0,0.838849348,0.831335107,0.860300122
4.998333333,0.848903646,0.835716581,0.873122901
9.998333333,0.830083819,0.841358077,0.872476825
14.99833333,0.83196082,0.849534045,0.863487705
19.99833333,0.825079622,0.829458328,0.865405721
24.99833333,0.843869763,0.845755709,0.8750645
29.99833333,0.836969308,0.838222529,0.872476825
34.99833333,0.835090381,0.839476315,0.8750645
39.99833333,0.835090381,0.833838366,0.873122901
44.99833333,0.847014068,0.840730621,0.877011571
49.99833333,0.828207244,0.84010343,0.865405721
54.99833333,0.843241544,0.846384717,0.869898114
59.99833333,0.83196082,0.841985712,0.873769551
64.99833333,0.833838366,0.843241544,0.877661829
69.99833333,0.825705164,0.845755709,0.873769551
74.99833333,0.8325866,0.840730621,0.872476825
79.99833333,0.855221135,0.842613528,0.867969805
84.99833333,0.835716581,0.843241544,0.874416679
89.99833333,0.823828533,0.852058432,0.875712918
94.99833333,0.836969308,0.852690317,0.884200188
99.99833333,0.836969308,0.852058432,0.888818663
104.9983333,0.843869763,0.847643669,0.89951999
109.9983333,0.8325866,0.855854705,0.900873034
114.9983333,0.837595856,0.856488635,0.902909402
119.9983333,0.839476315,0.852690317,0.906321932
124.9983333,0.836342884,0.861573889,0.909069427
130.1616667,0.84010343,0.863487705,0.907693714
134.9983333,0.846384717,0.856488635,0.913916244
139.9983333,0.852058432,0.857122927,0.912526254
144.9983333,0.843241544,0.854587925,0.916708854
149.9983333,0.841358077,0.852690317,0.912526254
154.9966667,0.853322517,0.856488635,0.915310456
159.9983333,0.873122901,0.851426954,0.923056705
164.9966667,0.860300122,0.854587925,0.916009063
169.9983333,0.861573889,0.863487705,0.911140416
174.9983333,0.871831322,0.856488635,0.905637504
179.9966667,0.870541968,0.873122901,0.918111698
184.9983333,0.873769551,0.866686773,0.908381071
189.9983333,0.87118637,0.88551612,0.905637504
194.9983333,0.8750645,0.871831322,0.911832819
199.9966667,0.87118637,0.873122901,0.945675425
204.9966667,0.872476825,0.925907788,0.901550903
209.9966667,0.874416679,0.874416679,0.900873034
214.9983333,0.882231577,0.87118637,0.902229692
219.9966667,0.877011571,0.880269125,0.900873034
224.9966667,0.881576751,0.881576751,0.900873034
229.9966667,0.88551612,0.892140279,0.902229692
234.9966667,0.888818663,0.873769551,0.89951999
239.9966667,0.895482069,0.883543285,0.898844806
244.9966667,0.900196063,0.887495376,0.902909402
249.9966667,0.890809341,0.892807001,0.901550903
254.9966667,0.908381071,0.878964233,0.898844806
259.9966667,0.903589933,0.891474366,0.902909402
265.16,0.900873034,0.882231577,1.039378913
269.9966667,0.911140416,0.928777795,0.902229692
274.9966667,0.911832819,0.900873034,0.902229692
279.9966667,0.933847814,0.896824621,0.898170511
284.9966667,0.917409725,0.923056705,0.990954155
289.9966667,0.930220145,0.903589933,0.904271509
294.9966667,0.922346848,0.921638147,0.902229692
299.9966667,0.925193251,0.896152924,0.903589933
304.9966667,0.944177973,0.902909402,0.900196063
309.9966667,0.930220145,0.905637504,0.938243111
314.9966667,0.925193251,0.93677276,0.904271509
319.9966667,0.925907788,0.919518959,0.900873034
324.9966667,0.930943175,0.909069427,0.89951999
329.9966667,0.943431328,0.911140416,0.947178487
334.9966667,0.937507277,0.924479902,0.897497083
339.9966667,1.197599022,0.913916244,0.89951999
344.9966667,0.941199644,0.916708854,0.900196063
349.9966667,0.947178487,0.918111698,0.897497083
354.9966667,0.940458579,0.932392969,0.898170511
359.9966667,0.948687118,0.970440273,0.896824621
